                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7377,                 12.518,                 1.2425,                0.44087,                0.33699,                0.29925,                 0.1323,                 1.6543,                 5.1426,                 0.8921,                 0.0892,                 0.0012,                 0.0012
                      1,                 1.6274,                 3.1371,                 1.0237,                0.73835,                0.80497,                0.77505,                0.46869,                0.98196,                 1.3784,                0.76986,               0.077475,              0.0024753,              0.0024753
                      2,                 1.2766,                 1.3256,                 0.9025,                0.94689,                0.77949,                0.87586,                0.46606,                0.87226,                 0.6855,                0.74636,               0.065725,              0.0037248,              0.0037248
                      3,                 1.2801,                 1.0144,                0.91511,                0.86041,                0.82315,                0.89293,                0.57481,                0.89591,                 0.5858,                0.74924,               0.053949,              0.0049485,              0.0049485
                      4,                 1.3868,                 1.0901,                0.89561,                0.78267,                 0.7881,                0.76918,                0.42041,                 1.0546,                0.80141,                 0.7535,               0.042147,              0.0061466,              0.0061466
                      5,                 1.3756,                   1.15,                0.90708,                0.73768,                0.76132,                0.82583,                0.50904,                0.96677,                0.94747,                0.76972,               0.030319,              0.0073188,              0.0073188
                      6,                 1.2424,                  1.242,                0.88017,                0.78145,                0.81818,                0.85556,                0.47726,                0.87009,                 1.1659,                0.77745,               0.018465,              0.0084654,              0.0084654
                      7,                  1.407,                 1.0877,                0.90763,                0.73589,                0.75452,                0.77225,                0.39411,                 1.0508,                 2.5852,                 0.8113,               0.009307,               0.009307,               0.009307
                      8,                 1.7413,                0.93771,                0.95838,                0.77481,                0.66667,                0.75431,                0.42656,                  1.101,                 3.3222,                0.82912,               0.009307,               0.009307,               0.009307
                      9,                 1.4526,                 1.2758,                0.92538,                0.91006,                0.82029,                0.87735,                0.41983,                 1.1316,                 1.2322,                0.81088,               0.009208,               0.009208,               0.009208
                     10,                 1.5105,                 1.1113,                0.90456,                0.85359,                 0.7819,                0.81393,                0.38922,                 1.0503,                0.75217,                0.79249,               0.009109,               0.009109,               0.009109
                     11,                 1.5569,                 1.0261,                0.93734,                0.92053,                0.90404,                0.95068,                0.49262,                0.94553,                0.61384,                0.78182,                0.00901,                0.00901,                0.00901
                     12,                 1.4285,                0.92094,                 0.9152,                0.91486,                0.92415,                0.90607,                0.44379,                0.93763,                0.70987,                0.75859,               0.008911,               0.008911,               0.008911
                     13,                 1.3392,                0.77242,                0.89152,                0.96864,                0.84815,                0.91675,                0.45662,                 0.9826,                0.67595,                 0.7661,               0.008812,               0.008812,               0.008812
                     14,                 1.4458,                0.87275,                0.92946,                0.94957,                0.89428,                0.97226,                0.58094,                 1.2004,                0.78933,                0.80899,               0.008713,               0.008713,               0.008713
                     15,                 1.4046,                 0.8562,                0.91093,                0.82859,                0.91507,                0.87813,                0.48882,                0.90022,                0.71779,                 0.7818,               0.008614,               0.008614,               0.008614
