                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3634,                 9.4826,                 1.1908,                0.76445,                0.52777,                0.66264,                0.34141,                 1.5745,                 3.5645,                0.98898,                 0.0856,                 0.0016,                 0.0016
                      1,                 1.3405,                 2.0818,                0.90848,                0.89131,                0.84493,                0.90217,                0.60621,                 1.0322,                0.99861,                0.85809,               0.070267,              0.0032673,              0.0032673
                      2,                 1.2792,                 1.2076,                0.88127,                0.97851,                0.84072,                0.91328,                 0.6194,                0.99918,                0.92476,                0.86238,               0.054901,               0.004901,               0.004901
                      3,                 1.1677,                 1.1045,                0.88426,                0.97324,                0.90906,                0.93614,                0.61288,                 1.0665,                0.67302,                0.84809,               0.039501,               0.006501,               0.006501
                      4,                  1.492,                0.95416,                0.89903,                0.91898,                 0.9048,                 0.9273,                0.54935,                 1.2928,                 1.1068,                0.89851,               0.024067,              0.0080674,              0.0080674
                      5,                 1.3904,                 1.0346,                0.90094,                 0.8562,                0.90179,                0.89385,                0.57145,                 1.1674,                0.98941,                 0.8762,               0.009505,               0.009505,               0.009505
                      6,                 1.5068,                 1.1225,                0.90272,                0.91272,                 0.8427,                0.90222,                0.58274,                 1.1386,                 1.1513,                0.86625,               0.009505,               0.009505,               0.009505
                      7,                 1.3563,                 1.1254,                0.90391,                0.84271,                0.74469,                0.85134,                0.51307,                 1.4983,                0.82501,                0.94963,               0.009406,               0.009406,               0.009406
                      8,                 1.5967,                0.90606,                0.92545,                 0.9732,                0.82635,                0.91771,                0.54751,                  1.231,                0.77395,                0.88596,               0.009307,               0.009307,               0.009307
                      9,                 1.4271,                0.76411,                0.91457,                0.88939,                0.87211,                0.89762,                0.56414,                 1.2139,                 0.7639,                0.89663,               0.009208,               0.009208,               0.009208
                     10,                 1.3369,                0.76319,                0.90659,                0.97257,                0.87484,                0.92837,                0.58228,                 1.2153,                0.74242,                0.89459,               0.009109,               0.009109,               0.009109
                     11,                 1.3199,                0.82387,                0.93188,                0.95491,                0.89752,                0.92922,                0.47542,                 1.2266,                0.91863,                 0.8834,                0.00901,                0.00901,                0.00901
                     12,                 1.3884,                0.74084,                0.91632,                0.90385,                0.84977,                0.92855,                0.49791,                 1.3842,                0.81514,                0.93645,               0.008911,               0.008911,               0.008911
                     13,                 1.3932,                0.71407,                0.91755,                0.88828,                0.84383,                0.90139,                0.50872,                 1.3313,                0.82777,                0.91629,               0.008812,               0.008812,               0.008812
                     14,                 1.2963,                0.72405,                 0.8922,                0.90809,                0.88741,                0.92892,                0.55879,                 1.3168,                0.77489,                0.92823,               0.008713,               0.008713,               0.008713
                     15,                 1.3157,                0.72228,                0.91267,                0.93421,                0.91483,                0.94836,                0.52788,                 1.2415,                0.81346,                0.90085,               0.008614,               0.008614,               0.008614
                     16,                  1.263,                0.72092,                0.91508,                  0.918,                0.89533,                0.92196,                0.54939,                 1.1206,                 0.8254,                0.89558,               0.008515,               0.008515,               0.008515
                     17,                 1.3396,                0.70854,                0.91566,                0.95504,                0.94061,                0.95881,                0.59488,                 1.0993,                0.61326,                0.86317,               0.008416,               0.008416,               0.008416
                     18,                 1.2503,                0.72852,                 0.8752,                0.95564,                0.90216,                0.96726,                0.60445,                 1.1191,                0.69623,                0.86127,               0.008317,               0.008317,               0.008317
                     19,                 1.3695,                0.69805,                0.90558,                0.94764,                0.95021,                0.97413,                0.63457,                 1.1851,                0.62011,                0.89206,               0.008218,               0.008218,               0.008218
                     20,                 1.2456,                 0.6953,                0.90156,                0.95663,                0.90938,                0.93328,                0.58759,                 1.1223,                0.67263,                0.87889,               0.008119,               0.008119,               0.008119
                     21,                 1.2409,                 0.6218,                0.88857,                0.95223,                0.89313,                0.94475,                0.62175,                  1.122,                0.66423,                0.87975,                0.00802,                0.00802,                0.00802
                     22,                 1.1487,                0.63601,                0.88083,                0.90673,                0.93132,                0.94061,                0.53387,                 1.2844,                0.70487,                0.89464,               0.007921,               0.007921,               0.007921
                     23,                 1.2099,                0.63585,                0.88593,                0.95469,                0.96162,                0.96082,                0.63255,                 1.1106,                0.55908,                0.87956,               0.007822,               0.007822,               0.007822
                     24,                 1.1855,                0.59192,                 0.8903,                0.98064,                0.89159,                0.94616,                0.58384,                  1.192,                0.56392,                0.90119,               0.007723,               0.007723,               0.007723
                     25,                 1.2162,                0.56528,                0.89497,                0.91874,                0.88171,                0.93883,                 0.5608,                 1.2575,                0.69508,                0.90525,               0.007624,               0.007624,               0.007624
                     26,                 1.2198,                0.63078,                0.89734,                0.93451,                0.92014,                 0.9483,                0.63802,                 1.0543,                0.66697,                0.88064,               0.007525,               0.007525,               0.007525
